Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
chloe_ccbf15e2		You and Chloe waiting to arrive Tristan in the train station	game/chloe_script.rpy	32	"[what]"
chloe_e2d100f5		After a minute Tristan arrive at the train station	game/chloe_script.rpy	33	"[what]"
chloe_8b17c26a	tr	Sorry I’m late Guys!	game/chloe_script.rpy	36	tr "[what]"
chloe_e7974b92	c	it’s okay, let’s ride the train now	game/chloe_script.rpy	39	c "[what]"
chloe_2fd361f4	me	hurry up were going to be late.	game/chloe_script.rpy	42	me "[what]"
train_74721d44		Inside of the Train	game/chloe_script.rpy	47	"[what]"
train_f87647cb	tr	Hays, the train are all ready crowded…	game/chloe_script.rpy	49	tr "[what]"
train_9a3fcf96	c	there’s no available set, we should wait for another train..	game/chloe_script.rpy	52	c "[what]"
train_8df72478	me	but it's been an hour before the another train come, 	game/chloe_script.rpy	55	me "[what]"
train_c660b951	me	and were going to be late if were going to wait for the another train..	game/chloe_script.rpy	57	me "[what]"
train_24217059	c	your right…	game/chloe_script.rpy	60	c "[what]"
train_d3a2c01f		After a minute an old guy, ride the bus but it’s still no vacant set, the old guy stand behind to Chloe	game/chloe_script.rpy	63	"[what]"
train_e842596d	o	........	game/chloe_script.rpy	65	o "[what]"
train_5f9b98d4	c	hmmm (someone touch my butt…)	game/chloe_script.rpy	67	c "[what]"
train_19da56a6		but the old guy look away when Chloe look to him and the old guy touche again Chloe’s butt	game/chloe_script.rpy	70	"[what]"
train_987c96ad	c	Tristan,[me], the old guy behind us touch my butt again....	game/chloe_script.rpy	74	c "[what]"
beat_9eef9ef7		You and Tristan have black eye from the punch of the old guy	game/chloe_script.rpy	94	"[what]"
efas_ce06b9df	me	excuse everyone the old guy touch my friend butt	game/chloe_script.rpy	100	me "[what]"
efas_9eb62582	tr	please call the driver or any crew of the train...	game/chloe_script.rpy	103	tr "[what]"
efas_303d2da5	d	yes sir..	game/chloe_script.rpy	105	d "[what]"
efas_63322c3c	me	this old man are pervert	game/chloe_script.rpy	108	me "[what]"
efas_d1ec48b6	me	he touch my friend butt	game/chloe_script.rpy	109	me "[what]"
efas_3b085e71		The driver help you to drop the old guy in the police station to report the incidence.	game/chloe_script.rpy	111	"[what]"
pstaion_d1faa42b		the three of you will report on what happen in the train to the police station	game/chloe_script.rpy	117	"[what]"
pstaion_cc3fa30b	pm	so what happen in the train?	game/chloe_script.rpy	120	pm "[what]"
pstaion_3906b1ca	me	the old man touch my friend butt!!	game/chloe_script.rpy	123	me "[what]"
pstaion_58d7374f	o	...sorry	game/chloe_script.rpy	126	o "[what]"
pstaion_a50a76ae	pm	kid calm down	game/chloe_script.rpy	128	pm "[what]"
pstaion_217bc4d6	pm	i got you kid..	game/chloe_script.rpy	129	pm "[what]"
pstaion_53485d38	pm	i have question to you guys, okay...	game/chloe_script.rpy	130	pm "[what]"
pstaion_340eddae	pm	are you guys know about the bawal bastos law?	game/chloe_script.rpy	134	pm "[what]" nointeract
explanation_807a5377	pm	it is Republic Act No. 11313 or also known as Safe Space Act	game/chloe_script.rpy	148	pm "[what]"
explanation_1800d62b	pm	AN ACT DEFINING GENDER-BASED SEXUAL HARASSMENT IN STREETS, PUBLIC SPACES, ONLINE, WORKPLACES,	game/chloe_script.rpy	149	pm "[what]"
explanation_8907b411	pm	AND EDUCATIONAL OR TRAINING INSTITUTIONS, PROVIDING PROTECTIVE MEASURES AND PRESCRIBING PENALTIES THEREFOR	game/chloe_script.rpy	150	pm "[what]"
youAnsweer_6f2dcb74	me	ahh it is a the Republic Act No. 11313 or also known as Safe Space Act	game/chloe_script.rpy	156	me "[what]"
youAnsweer_e6899e56	me	AN ACT DEFINING GENDER-BASED SEXUAL HARASSMENT IN STREETS, PUBLIC SPACES, ONLINE, WORKPLACES,	game/chloe_script.rpy	157	me "[what]"
youAnsweer_fc05f2e2	me	AND EDUCATIONAL OR TRAINING INSTITUTIONS, PROVIDING PROTECTIVE MEASURES AND PRESCRIBING PENALTIES THEREFOR	game/chloe_script.rpy	158	me "[what]"
youAnsweer_513e53f9	pm	your right yuong man..	game/chloe_script.rpy	161	pm "[what]"
youAnsweer_d17d1e2c	pm	Safe Space Act are the right law for what happen in the train	game/chloe_script.rpy	162	pm "[what]"
youAnsweer_b56bb80f	tr	how do you know about this law?	game/chloe_script.rpy	165	tr "[what]"
youAnsweer_4ca3576d	me	i love reading book and news....	game/chloe_script.rpy	168	me "[what]"
hurry_ab0d8bfb	me	ahh thank you for new information sir...	game/chloe_script.rpy	173	me "[what]"
hurry_973c5e15	c	now i know my rights now...	game/chloe_script.rpy	175	c "[what]"
hurry_a5c200c6	c	also everyone rights..	game/chloe_script.rpy	176	c "[what]"
yieee_4adc0f59	tr	ohh okay, but thank to you [me] now i know this law...	game/chloe_script.rpy	181	tr "[what]"
